full.name,ip.address,region,in.store,age,items,amount
Carter Stokes,,2,0,37,4,281.03
Jacob Jerde,,2,0,35,2,219.51
Tressa Ratke,192.90.208.202,4,1,45,3,1525.7
Rudolf Abshire,251.55.128.164,3,1,46,3,715.25
Theresa Davis,182.19.192.186,1,1,33,4,1937.5
Rich Bartell,,4,0,24,3,1314.2
Brooks Kutch,,2,0,43,6,8.5472
Keitha Mosciski,173.45.123.122,3,1,66,5,819.98
Hortense Streich,15.181.154.173,1,1,51,5,908.31
Carl Price,157.195.240.69,1,1,47,3,767.54
Scot Rolfson,125.149.221.56,3,1,44,5,122.39
Donald Heaney,70.8.139.33,1,1,33,2,684.32
Troy Kertzmann,,2,0,32,2,58.997
Katelin Reinger,174.248.11.168,3,1,48,7,529.57
Ailene Fahey,32.97.218.144,4,1,34,6,270.49
Melodie Friesen,,3,0,43,7,1585.1
Efrain Little,93.214.151.69,1,1,20,7,1901.3
Robin Gottlieb,63.167.121.216,3,1,43,4,165.48
Lowell Tremblay,,4,0,35,2,2791.6
Miss Murray,,4,0,58,7,1225.8
Angelo Romaguera,,4,0,37,7,1022.6
Chase Sporer,,3,0,49,5,2524.4
Aida Gislason,46.140.140.56,1,1,55,4,267.18
Hulda Witting,100.139.57.136,1,1,31,6,901.7
Darrick Hills,15.76.51.231,4,1,53,2,283.5
Verena Parker,113.210.253.7,4,1,21,5,113.65
Porfirio Jaskolski,,2,0,42,5,114.49
Svetlana Greenfelder,43.86.109.202,4,1,40,5,1151.7
Raymon Spinka,32.32.101.94,3,1,31,4,246.61
Cameron Hyatt,,4,0,28,7,623.05
Ahmad Prohaska,24.223.108.133,1,1,59,3,346.26
Lezlie Hudson,187.128.82.133,4,1,41,3,935.72
Phillis Little,248.32.34.171,3,1,74,6,652.57
Lu Sauer,8.53.199.142,3,1,49,7,987.98
Kiley Daugherty,4.82.177.198,3,1,55,1,120.47
Jovita Hansen,197.12.131.173,3,1,40,6,649.27
Edward Jaskolski,226.45.208.225,3,1,66,6,429.13
Marcie Swift,12.136.160.98,4,1,19,7,271.71
Quentin Funk,,2,0,43,1,472.69
Napoleon King,,3,0,20,8,261.1
Frank Connelly,,2,0,54,4,456.25
Corrina Douglas,,2,0,55,5,274.09
Omar Dickens,,3,0,57,4,2289.2
Johnathon Hansen,,3,0,44,1,861.21
Kenyetta Watsica,168.63.97.91,4,1,30,4,856.26
Gilberte Brown,83.210.161.213,4,1,46,3,754.08
Wilfred Hane,,3,0,27,6,592.34
Nicol Botsford,180.187.184.84,4,1,20,2,906.9
Porter Wolff,,4,0,57,3,505.34
Lino Gottlieb,99.31.146.232,4,1,51,5,901.74
Hector Hoppe,,4,0,30,6,1612.9
Cliff Feeney,,2,0,74,3,473.62
Debora Keebler,136.104.211.165,4,1,20,3,127.09
Franklin Crooks,114.207.250.84,4,1,38,4,1825.3
Kyung Gleichner,,2,0,44,7,245.28
Ellan Ortiz,163.24.154.108,4,1,26,1,1448.6
Lenita Stracke,158.227.218.90,1,1,36,7,96.541
Brady Koch,,4,0,53,5,2952.8
Chris Cormier,109.116.48.227,1,1,22,2,1008.2
Tawnya Metz,,2,0,66,1,65.619
Corey Bailey,,4,0,30,1,1046.9
Alex Stracke,,2,0,39,7,221.3
Art Batz,167.96.107.124,1,1,27,4,961.23
Katherin Heaney,,2,0,38,1,336.44
Robbie Will,,2,0,69,4,213.62
Natashia Marvin,,2,0,81,4,324.98
Reid Kirlin,55.94.207.55,1,1,26,4,200.27
Laveta Aimonetti,,2,0,65,2,204.67
Darla Hartmann,,2,0,35,2,168.86
Herb Blanda,208.5.237.100,3,1,61,7,240.27
Kimi Ernser,24.26.246.53,4,1,44,4,1143.4
Rod Padberg,,3,0,62,7,2591.3
Maxwell Greenholt,9.66.37.152,4,1,51,2,1656.4
Florencio Leffler,162.108.63.82,3,1,49,4,172.17
Ester Lakin,,2,0,78,6,469.96
Calandra McClure,99.238.99.251,1,1,40,2,748.35
Johnsie O'Reilly,,2,0,30,4,46.862
Katelynn Hane,101.230.218.52,3,1,38,5,91.63
Cristobal Gulgowski,,2,0,29,3,39.771
Ruthie Hackett,146.169.213.122,4,1,44,3,1123.5
Octavio Feeney,,2,0,47,3,13.577
Max Brown,163.78.108.91,4,1,41,1,1355.9
Brandon Keebler,,4,0,59,2,1299.2
Lizabeth Goyette,26.106.124.53,3,1,42,7,698.67
Gaylord Considine,78.120.142.33,1,1,26,4,803.38
Thomas Yundt,88.9.81.63,4,1,28,2,1057.0
Christa Denesik,64.170.241.245,1,1,45,3,532.4
Laine Skiles,39.161.202.14,3,1,53,2,500.85
Perry McGlynn,,4,0,20,5,991.58
Milford O'Reilly,,2,0,34,2,125.63
George Haag,,4,0,24,4,1875.2
Antony Bergnaum,117.61.111.201,1,1,53,2,917.28
Ava Mertz,57.48.129.134,1,1,44,2,1254.8
Harris Oberbrunner,90.52.48.245,1,1,55,2,1288.1
Grant Stanton,151.55.75.114,1,1,67,7,136.97
Eddy Schumm,,2,0,58,4,165.28
Latina Schamberger,133.71.98.46,1,1,19,7,1995.0
Stanton Jerde,,2,0,80,1,13.109
Vince Stokes,,2,0,58,7,200.31
Mason Nolan,,2,0,73,5,34.782
Lorean Moore,124.166.238.189,1,1,38,6,368.29
Ginger Casper,,4,0,62,5,1606.0
Lenore Glover,30.132.12.31,1,1,67,5,59.912
Franklin Hackett,149.178.231.112,4,1,31,4,1038.0
Shawnta Keebler,52.143.61.12,3,1,36,4,701.57
Chris Bruen,,2,0,48,7,86.411
Victor Crooks,64.8.188.23,4,1,26,8,199.46
Cheryl Lesch,,2,0,32,3,122.55
Rudolf Jakubowski,169.126.87.68,4,1,28,2,822.56
Ulrike Heathcote,,2,0,42,2,449.55
Wilton Labadie,194.139.214.17,3,1,25,6,106.33
Bert Nolan,,4,0,54,7,670.42
Christian Ward,151.236.74.8,3,1,74,2,673.84
Chi Hermann,,2,0,65,8,315.94
Isaac Corwin,,4,0,49,3,528.32
Alfred Jacobson,11.20.198.25,3,1,52,6,625.5
Leon Beahan,,4,0,30,7,795.12
Preston Cartwright,252.139.242.151,1,1,32,4,659.64
Donnell Gerlach,53.37.231.141,1,1,48,2,750.05
Luna Wuckert,62.39.164.9,3,1,34,6,394.5
Phylicia Sipes,,2,0,69,3,397.26
Darryl Conroy,,3,0,44,2,2795.0
Forrest Stroman,,2,0,45,7,453.65
Caridad Predovic,122.243.46.12,1,1,36,8,813.28
Sana Dibbert,255.187.250.139,1,1,26,3,1352.4
Stuart Hauck,,2,0,54,8,199.06
Lynetta Gleichner,,2,0,57,3,288.67
Gary Hartmann,,2,0,50,7,491.04
Toney Simonis,12.181.156.99,3,1,34,5,248.07
Winford Shields,213.13.176.96,4,1,22,6,1038.8
Misty Aufderhar,,2,0,30,5,168.86
Harland Bogisich,165.236.252.152,3,1,70,2,888.08
Kurt Hermann,,4,0,39,2,2065.2
Elliott Nolan,,4,0,26,8,1552.9
Denny Terry,57.146.213.13,1,1,70,8,535.17
Josie O'Keefe,,2,0,45,2,238.33
Marquerite Cremin,,2,0,43,4,111.15
Lawrence Yundt,35.229.159.208,3,1,41,6,384.79
Charlie Towne,15.35.34.18,1,1,51,2,1037.0
Carletta Cartwright,236.201.238.138,1,1,46,5,142.84
Irene Thompson,91.8.205.157,1,1,56,4,345.49
Gayle Jewess,30.222.237.122,1,1,40,7,505.54
Kristen Mills,,4,0,33,7,2693.1
Freeman Cummerata,219.156.208.181,4,1,27,1,1938.1
Todd Labadie,135.103.181.254,1,1,26,6,59.045
Dallas Marvin,244.179.138.33,4,1,36,7,162.1
Julietta Padberg,,2,0,60,4,389.27
Kristofer Wilderman,14.141.31.236,1,1,26,7,917.57
Jesse Wiegand,,2,0,69,3,83.657
Jarvis White,184.99.83.41,4,1,49,5,1284.8
Ray Hodkiewicz,215.149.220.184,1,1,38,6,790.75
Delmer Boyer,53.165.202.120,3,1,66,4,713.9
Alphonso Bode,124.252.166.83,4,1,27,7,772.18
Jan Rolfson,,4,0,34,2,2627.4
Carlton Goyette,,2,0,73,3,273.66
Clarinda Paucek,,2,0,41,6,147.31
Armand Bartoletti,83.59.194.19,1,1,24,2,1700.7
Thanh Rosenbaum,,3,0,25,8,883.52
